0,m=(-1.48334*10^-4 +/- 1.02*10^-5), b=(-2.93195 +/- 2.255*10^-3)
1,m=(-1.65833*10^-4 +/- 4.068*10^-5), b=(-2.51372 +/- 0.01608)
2,m=(1.32099*10^-4 +/- 2.935*10^-5), b=(0.7739 +/- 9.459*10^-3)
3,m=(-4.99261*10^-5 +/- 1.19*10^-5), b=(1.72119 +/- 3.143*10^-3)
4,m=(-1.83883*10^-4 +/- 1.677*10^-5), b=(-1.13553 +/- 5.5755*10^-3)
5,m=(-2.00075*10^-4 +/- 1.721*10^-5), b=(2.32106 +/- 5.341*10^-3)
6,-
7,-
8,m=(-2.62711*10^-4 +/- 1.926*10^-5), b=(-2.46487 +/- 5.812*10^-3)
9,m=(-6.95815*10^-05 +/- 1.69*10^-05), b=(1.41369 +/- 5.812*10^-3)
10,m=(-6.70954*10^-05 +/- 1.436*10^-05), b=(-0.376024 +/- 0.003846)
11,-
12,-
13,m=(-1.37472*10^-4 +/- 2.664*10^-4), b=(-0.806974 +/- 0.09142)
14,m=(-0.00054598 +/- 9.074*10^-05), b=(0.8648 +/- 0.03169)
15,m=(-1.9061*10^-4 +/- 2.607*10^-5), b=(-2.20279 +/- 7.333*10^-3)
16,m=( -0.000643967 +/- 2.509*10^-05), b=(-1.27875 +/- 0.008116)
17,-
18,m=(-7.00377*10^-4 +/- 2.986*10^-5), b=(0.838266 +/- 9.533*10^-3)
19,m=(-1.42164*10^-3 +/- 7.17*10^-05), b=(-1.2088 +/- 0.02699)
20,-
21,m=(-8.6519*10^-4 +/- 4.001*10^-5), b=(-1.01239 +/- 0.01059)
22,m=(-1.77936*10^-3 +/- 1.824*10^-5), b=(0.125377 +/- 4.828*10^-3)
23,m=(-1.43163*10^-3 +/- 3.066*10^-5), b=(-0.856706 +/- 3.114*10^-3)
24,-
25,-
26,-
27,m=(-7.70187*10^-4 +/- 9.375*10^-06), b=(-0.801565 +/- 2.482*10^-3)
28,m=(9.35007*10^-4 +/- 9.282*10^-06), b=(2.03103 +/- 2.457*10^-3)
29,-
