0,m=(-0.000331934 +/- 0.0003463), b=(-2.86503 +/- 0.1083)
1,m=(-0.000129224 +/- 2.957*10^-05), b=(0.498321 +/- 0.01043)
2,m=(8.22893*10^-06 +/- 4.477*10^-05), b=(0.79896 +/- 0.01658)
3,m=(-7.54133*10^-05 +/- 2.907*10^-05), b=(-1.40853 +/- 0.009467)
4,m=(7.64202*10^-05 +/- 0.00014), b=(1.26554 +/- 0.01267)
5,m=(0.00024517 +/- 3.297*10^-05), b=(2.21606 +/- 0.004438)
6,-
7,-
8,m=(-0.000270777 +/- 3.757*10^-05), b=(0.96985 +/- 0.009343)
9,m=(-0.000109701 +/- 1.568*10^-05), b=(1.97813 +/- 0.005177)
10,m=(0.000116534 +/- 7.091*10^-05), b=(0.112315 +/- 0.007451)
11,-
12,-
13,m=(-0.000496025 +/- 0.0001097), b=(2.36595 +/- 0.007267)
14,m=(-0.000202673 +/- 7.022*10^-05), b=(0.676899 +/- 0.01255)
15,m=(-0.000330494 +/- 2.941*10^-05), b=(1.10525 +/- 0.007843)
16,m=(-0.000230597 +/- 3.758*10^-05), b=(-0.77048 +/- 0.005107)
17,m=(-0.000993726 +/- 0.0001083), b=(-0.424581 +/- 0.01206)
18,m=(-0.000410986 +/- 2.682*10^-05), b=(1.4406 +/- 0.004286)
19,m=(-0.000501644 +/- 3.435*10^-05), b=(2.27491 +/- 0.008384)
20,-
21,m=(-0.000506414 +/- 6.098*10^-05), b=(2.83443 +/- 0.01497)
22,m=(-0.0013737 +/- 2.18*10^-05), b=(0.671107 +/- 0.005503)
23,m=(-0.00143084 +/- 2.768*10^-05), b=(2.81876 +/- 0.006035)
24,m=(-0.0009930575 +/- 0.000278774747780354), b=(1.10878 +/- 0.03096), b2=(1.43272 +/- 0.03708)
25,-
26,-
27,m=(-0.000496995 +/- 3.01*10^-05), b=(0.0794047 +/- 0.01013)
28,m=(8.98096*10^-06 +/- 8.758*10^-05), b=(-0.266015 +/- 0.009342)
29,m=(0.0009718 +/- 2.205*10^-05), b=(1.42993 +/- 0.004275)
